"model","horizon","n","MAE","RMSE","MAPE","sMAPE","MAE_orig","RMSE_orig"
"ARIMAX",1,23,0.4254,0.7482,3.6266,3.8022,44195,89051
"ARIMAX",2,23,0.7212,1.1067,6.1306,6.5584,67402,124205
"ARIMAX",3,23,0.9462,1.34,8.0118,8.6868,76126,111039
"ARIMAX",4,23,1.1775,1.5155,9.9855,10.8494,85089,107429
"ARIMAX",5,23,1.3469,1.6324,11.4045,12.4216,89831,105930
"ARIMAX",6,23,1.5348,1.8145,12.9567,14.2359,99108,113405
"BSTS",1,18,0.7157,1.7833,13.4968,17.0434,168918,575832
"BSTS",2,18,0.8136,1.9724,14.2197,17.7024,650374,2609027
"BSTS",3,18,1.0001,2.0744,15.8787,18.7514,920413,3700682
"BSTS",4,18,1.7813,3.6901,22.0765,30.9727,2186484,9035204
"BSTS",5,18,1.9576,3.8511,23.1433,33.477,3540068,14742966
"BSTS",6,18,2.3031,4.2047,22.1633,31.0586,10180210,42274989
"Prophet",1,18,0.736,1.449,11.4021,16.1345,50243,73295
"Prophet",2,18,0.7248,1.1985,11.3551,16.4659,50862,67459
"Prophet",3,18,1.6569,3.3848,18.8135,29.2542,131770,242770
"Prophet",4,18,1.425,3.1457,17.0723,28.0718,40738,55447
"Prophet",5,18,1.5791,3.2698,18.3536,29.1631,44393,53319
"Prophet",6,17,0.9458,1.4926,10.9507,11.9651,61934,77941
